Customer ID,Customer Name,Customer Address,Customer City,Customer State,Customer Zip,Sales Rep
386423,Big Mart,56 Hanover Dr,Boston,MA,02115,gray74
686236,Mastro Toys,12 2nd St,New York,NY,10022,gray74
874239,Toy Town,350 Hazel Ave,Atlanta,GA,31324,tanderson
469752,Toronto Toy Land,4 Main St,Minneapolis,MN,55416,mflemming17
456987,UniMart,12 State St,Newark ,NJ,07191,gray74
123765,Marco's Games and Things,156 King's Path,San Diego ,CA,92071,gutierrez39
835679,Tao's Toys,89 George Way,Wilmington,DE,19806,gray74
783674,Mega Mart,3200 N Charles St,Baltimore,MD,21218,anderson21
456785,All Brands Toys,22 E Broad St,Cleveland,OH,44127,fleming82
237542,Davidson's Toy House,37 Franklin Dr,Cincinnati ,OH,45217,gray74
679346,House of Games,45 Denow Rd,Chicago,IL,60611,anderson21
666331,We Be Toys,346 E 22nd St,New York,NY,10020,gray74
969873,Dysart's Dolls,78 Richard's Way,Cincinnati ,OH,45216,fleming82
127057,Toy Express,67 Johnston St,Boston,MA,02115,gray74
670632,The Little Shop,109 Florence Dr,Atlanta,GA,31327,anderson21
789573,Toy Adventure,134 Falls Rd,Newark ,NJ,07195,gray74
467985,Big Box Store,45 Cold Spring Ave,Baltimore,MD,21210,anderson21
346967,Toy Haven,123 Holly Rd,San Diego ,CA,92108,gutierrez39
236098,The Toy Barn,43 Chance Rd,Los Angelas,CA,90001,gutierrez39
368752,Camille's Toy Shoppe,59 Duggins Ave,Wilmington,DE,19899,gray74
508624,Games and Things,273 W Holly Ave,Minneapolis,MN,55416,fleming82
598734,The Toy Shop,1200 34th St,Buffalo,NY,14214,gray74
689534,Haley's Toys,705 Ferry Way,Chicago,IL,60611,anderson21
698236,Griffin's Toy Emporium,506 Victor Rd,Los Angelas,CA,90022,gutierrez39
650780,Carter Toys,654 Park Place,Dover,DE,19901,anderson21
522148,Parker Toys,74 Pine Street,Denver ,CO,80201,gutierrez39
110121,Washington Ave. Toys,1001 Washington Ave,Sacramento,CA,94203,gutierrez39
540805,Dogwood Toys,782 Dogwood Ln,Hartford,CT,06101,gray74
662541,Toys Unlimited,358 Oak St,Chicago,IL,60601,fleming82
650470,Games and Things,223 Mabel St,Phoenix,AZ,85001,fleming82
980672,Toys and More,246 Magee St,Beverly Hills,CA,90209,gray74
882204,We Be Toys,5440 Hillcrest Ave,Miami ,FL,33124,gutierrez39
650480,Fun Stop,21 Cumberland Ave,Pensacola ,FL,32501,smith75
998450,Toys for Less,132 Main St,Atlanta,GA,30301,jones13
